"","status.of.existing.checking.account","duration.in.month","credit.history","purpose","credit.amount","savings.account.and.bonds","present.employment.since","installment.rate.in.percentage.of.disposable.income","personal.status.and.sex","other.debtors.or.guarantors","present.residence.since","property","age.in.years","other.installment.plans","housing","number.of.existing.credits.at.this.bank","job","number.of.people.being.liable.to.provide.maintenance.for","telephone","foreign.worker","creditability"
"345","... >= 200 DM / salary assignments for at least 1 year",10,"existing credits paid back duly till now","car (new)",3949,"... < 100 DM","... < 1 year",1,"male : single","guarantor",1,"building society savings agreement/ life insurance",37,"none","own",1,"unskilled - resident","2","none","yes","good"
"346","no checking account",15,"critical account/ other credits existing (not at this bank)","radio/television",1459,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"car or other, not in attribute Savings account/bonds",43,"none","own",1,"unskilled - resident","1","none","yes","good"
"347","0 <= ... < 200 DM",13,"critical account/ other credits existing (not at this bank)","radio/television",882,"... < 100 DM","... < 1 year",4,"male : single","guarantor",4,"real estate",23,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"348","0 <= ... < 200 DM",24,"existing credits paid back duly till now","radio/television",3758,"500 <= ... < 1000 DM","unemployed",1,"female : divorced/separated/married","none",4,"unknown / no property",23,"none","rent",1,"OTHER","1","none","yes","good"
"349","no checking account",6,"delay in paying off in the past","business",1743,"100 <= ... < 500 DM","1 <= ... < 4 years",1,"male : single","none",2,"real estate",34,"none","own",2,"unskilled - resident","1","none","yes","good"
"350","0 <= ... < 200 DM",9,"critical account/ other credits existing (not at this bank)","education",1136,"... >= 1000 DM","... >= 7 years",4,"male : single","none",3,"unknown / no property",32,"none","for free",2,"unskilled - residentskilled employee / official","2","none","yes","bad"
"351","no checking account",9,"existing credits paid back duly till now","OTHER",1236,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",4,"real estate",23,"none","rent",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"352","0 <= ... < 200 DM",9,"existing credits paid back duly till now","furniture/equipment",959,"... < 100 DM","1 <= ... < 4 years",1,"female : divorced/separated/married","none",2,"car or other, not in attribute Savings account/bonds",29,"none","own",1,"unskilled - residentskilled employee / official","1","none","no","bad"
"353","no checking account",18,"critical account/ other credits existing (not at this bank)","car (used)",3229,"unknown/ no savings account","unemployed",2,"male : single","none",4,"unknown / no property",38,"none","own",1,"OTHER","1","yes, registered under the customers name","yes","good"
"354","... < 0 DM",12,"no credits taken/ all credits paid back duly","radio/television",6199,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"building society savings agreement/ life insurance",28,"none","rent",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","bad"
"355","no checking account",10,"existing credits paid back duly till now","education",727,"500 <= ... < 1000 DM","... >= 7 years",4,"male : single","none",4,"unknown / no property",46,"none","for free",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"356","0 <= ... < 200 DM",24,"existing credits paid back duly till now","car (new)",1246,"... < 100 DM","... < 1 year",4,"male : single","none",2,"real estate",23,"stores","own",1,"unskilled - resident","1","none","yes","bad"
"357","no checking account",12,"critical account/ other credits existing (not at this bank)","radio/television",2331,"unknown/ no savings account","... >= 7 years",1,"male : single","co-applicant",4,"real estate",49,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"358","no checking account",36,"delay in paying off in the past","radio/television",4463,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"car or other, not in attribute Savings account/bonds",26,"none","own",2,"OTHER","1","yes, registered under the customers name","yes","bad"
"359","no checking account",12,"existing credits paid back duly till now","radio/television",776,"... < 100 DM","1 <= ... < 4 years",4,"male : married/widowed","none",2,"real estate",28,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"360","... < 0 DM",30,"existing credits paid back duly till now","furniture/equipment",2406,"... < 100 DM","4 <= ... < 7 years",4,"female : divorced/separated/married","none",4,"real estate",23,"none","rent",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"361","0 <= ... < 200 DM",18,"existing credits paid back duly till now","education",1239,"unknown/ no savings account","1 <= ... < 4 years",4,"male : single","none",4,"unknown / no property",61,"none","for free",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"362","... >= 200 DM / salary assignments for at least 1 year",12,"existing credits paid back duly till now","radio/television",3399,"unknown/ no savings account","... >= 7 years",2,"male : single","none",3,"car or other, not in attribute Savings account/bonds",37,"none","own",1,"OTHER","1","none","yes","good"
"363","... >= 200 DM / salary assignments for at least 1 year",12,"delay in paying off in the past","car (new)",2247,"... < 100 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",2,"car or other, not in attribute Savings account/bonds",36,"stores","own",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"364","no checking account",6,"existing credits paid back duly till now","furniture/equipment",1766,"... < 100 DM","1 <= ... < 4 years",1,"male : married/widowed","none",2,"building society savings agreement/ life insurance",21,"none","rent",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"365","... < 0 DM",18,"existing credits paid back duly till now","furniture/equipment",2473,"... < 100 DM","unemployed",4,"male : single","none",1,"car or other, not in attribute Savings account/bonds",25,"none","own",1,"OTHER","1","none","yes","bad"
"366","no checking account",12,"existing credits paid back duly till now","business",1542,"... < 100 DM","4 <= ... < 7 years",2,"male : single","none",4,"car or other, not in attribute Savings account/bonds",36,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"367","no checking account",18,"critical account/ other credits existing (not at this bank)","car (used)",3850,"... < 100 DM","4 <= ... < 7 years",3,"male : single","none",1,"car or other, not in attribute Savings account/bonds",27,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"368","... < 0 DM",18,"existing credits paid back duly till now","furniture/equipment",3650,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",4,"car or other, not in attribute Savings account/bonds",22,"none","rent",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"369","... < 0 DM",36,"existing credits paid back duly till now","furniture/equipment",3446,"... < 100 DM","... >= 7 years",4,"male : single","none",2,"car or other, not in attribute Savings account/bonds",42,"none","own",1,"unskilled - residentskilled employee / official","2","none","yes","bad"
"370","0 <= ... < 200 DM",18,"existing credits paid back duly till now","furniture/equipment",3001,"... < 100 DM","4 <= ... < 7 years",2,"female : divorced/separated/married","none",4,"real estate",40,"none","rent",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"371","no checking account",36,"existing credits paid back duly till now","car (new)",3079,"unknown/ no savings account","1 <= ... < 4 years",4,"male : single","none",4,"real estate",36,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"372","no checking account",18,"critical account/ other credits existing (not at this bank)","radio/television",6070,"... < 100 DM","... >= 7 years",3,"male : single","none",4,"car or other, not in attribute Savings account/bonds",33,"none","own",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"373","no checking account",10,"critical account/ other credits existing (not at this bank)","furniture/equipment",2146,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",3,"real estate",23,"none","rent",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"374","no checking account",60,"critical account/ other credits existing (not at this bank)","car (new)",13756,"unknown/ no savings account","... >= 7 years",2,"male : single","none",4,"unknown / no property",63,"bank","for free",1,"OTHER","1","yes, registered under the customers name","yes","good"
"375","0 <= ... < 200 DM",60,"all credits at this bank paid back duly","OTHER",14782,"100 <= ... < 500 DM","... >= 7 years",3,"female : divorced/separated/married","none",4,"unknown / no property",60,"bank","for free",2,"OTHER","1","yes, registered under the customers name","yes","bad"
"376","... < 0 DM",48,"all credits at this bank paid back duly","business",7685,"... < 100 DM","4 <= ... < 7 years",2,"female : divorced/separated/married","guarantor",4,"car or other, not in attribute Savings account/bonds",37,"none","rent",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"377","no checking account",18,"delay in paying off in the past","radio/television",2320,"... < 100 DM","unemployed",2,"male : married/widowed","none",3,"real estate",34,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"378","no checking account",7,"delay in paying off in the past","radio/television",846,"unknown/ no savings account","... >= 7 years",3,"male : single","none",4,"unknown / no property",36,"none","for free",1,"unskilled - residentskilled employee / official","1","none","yes","good"
