,status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
326,... < 0 DM,8,critical account/ other credits existing (not at this bank),car (new),3398,... < 100 DM,4 <= ... < 7 years,1,male : single,NA,4,real estate,39,NA,own,2,unskilled - resident,NA,none,NA,good
327,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,5801,NA,... >= 7 years,2,male : single,none,NA,building society savings agreement/ life insurance,49,none,NA,NA,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
328,no checking account,24,NA,car (new),1525,NA,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",34,none,NA,1,unskilled - residentskilled employee / official,2,NA,yes,good
329,... >= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,4473,... < 100 DM,... >= 7 years,4,male : single,none,2,NA,31,none,own,1,unskilled - residentskilled employee / official,1,NA,yes,good
330,0 <= ... < 200 DM,NA,existing credits paid back duly till now,radio/television,1068,... < 100 DM,... >= 7 years,4,male : single,NA,4,"car or other, not in attribute Savings account/bonds",28,none,NA,1,unskilled - residentskilled employee / official,2,NA,yes,good
331,NA,24,critical account/ other credits existing (not at this bank),car (used),6615,... < 100 DM,NA,2,male : single,none,4,unknown / no property,75,none,for free,2,OTHER,NA,"yes, registered under the customers name",yes,good
332,no checking account,18,critical account/ other credits existing (not at this bank),NA,1864,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,30,NA,own,2,unskilled - residentskilled employee / official,1,none,yes,bad
333,0 <= ... < 200 DM,60,existing credits paid back duly till now,car (new),7408,100 <= ... < 500 DM,... < 1 year,4,female : divorced/separated/married,NA,2,building society savings agreement/ life insurance,24,none,own,1,OTHER,1,none,NA,bad
334,no checking account,48,critical account/ other credits existing (not at this bank),NA,11590,100 <= ... < 500 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",24,bank,rent,2,unskilled - resident,NA,none,yes,bad
335,... < 0 DM,NA,no credits taken/ all credits paid back duly,furniture/equipment,4110,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown / no property,23,bank,rent,2,NA,2,none,yes,bad
336,... < 0 DM,6,critical account/ other credits existing (not at this bank),furniture/equipment,3384,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,NA,real estate,44,none,rent,1,OTHER,1,NA,yes,bad
337,NA,13,existing credits paid back duly till now,radio/television,NA,... < 100 DM,... < 1 year,2,female : divorced/separated/married,guarantor,4,building society savings agreement/ life insurance,23,NA,own,1,unskilled - resident,1,none,yes,good
338,... < 0 DM,15,existing credits paid back duly till now,OTHER,1275,unknown/ no savings account,1 <= ... < 4 years,NA,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",24,none,rent,1,unskilled - residentskilled employee / official,1,none,yes,bad
339,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,NA,... < 100 DM,1 <= ... < 4 years,4,NA,none,4,building society savings agreement/ life insurance,28,none,NA,1,unskilled - residentskilled employee / official,1,none,NA,good
340,0 <= ... < 200 DM,10,existing credits paid back duly till now,furniture/equipment,1521,... < 100 DM,1 <= ... < 4 years,4,NA,none,2,"car or other, not in attribute Savings account/bonds",31,none,own,1,NA,NA,NA,yes,good
341,0 <= ... < 200 DM,24,NA,education,5743,... < 100 DM,... < 1 year,2,female : divorced/separated/married,NA,NA,unknown / no property,24,none,for free,NA,NA,NA,NA,yes,good
342,NA,21,existing credits paid back duly till now,furniture/equipment,3599,... < 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",26,NA,rent,1,unskilled - resident,1,NA,yes,good
343,NA,NA,NA,radio/television,NA,NA,... < 1 year,1,male : married/widowed,NA,3,real estate,25,none,rent,NA,unskilled - residentskilled employee / official,1,none,yes,good
344,NA,18,NA,business,4439,... < 100 DM,NA,1,male : single,co-applicant,1,real estate,33,bank,own,1,OTHER,1,NA,yes,good
345,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,NA,3949,... < 100 DM,... < 1 year,NA,male : single,guarantor,1,building society savings agreement/ life insurance,NA,NA,own,NA,unskilled - resident,2,none,yes,good
346,no checking account,NA,critical account/ other credits existing (not at this bank),radio/television,NA,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,NA,43,NA,own,1,unskilled - resident,1,none,yes,good
347,0 <= ... < 200 DM,13,NA,radio/television,882,... < 100 DM,... < 1 year,4,NA,guarantor,NA,real estate,23,none,own,2,unskilled - residentskilled employee / official,NA,none,yes,good
348,0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,3758,NA,NA,1,female : divorced/separated/married,NA,4,NA,NA,NA,rent,1,OTHER,1,none,yes,good
349,no checking account,6,delay in paying off in the past,business,1743,100 <= ... < 500 DM,1 <= ... < 4 years,NA,male : single,none,2,real estate,34,none,own,2,unskilled - resident,1,none,NA,good
350,NA,9,critical account/ other credits existing (not at this bank),education,1136,... >= 1000 DM,... >= 7 years,4,male : single,none,3,unknown / no property,32,none,for free,2,unskilled - residentskilled employee / official,2,none,yes,bad
351,no checking account,NA,NA,OTHER,1236,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,real estate,23,none,NA,NA,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",yes,good
352,0 <= ... < 200 DM,9,existing credits paid back duly till now,furniture/equipment,959,... < 100 DM,1 <= ... < 4 years,1,NA,none,2,"car or other, not in attribute Savings account/bonds",29,none,own,1,unskilled - residentskilled employee / official,1,none,no,bad
353,no checking account,18,critical account/ other credits existing (not at this bank),car (used),3229,unknown/ no savings account,unemployed,2,male : single,none,4,unknown / no property,38,none,own,NA,NA,1,"yes, registered under the customers name",yes,good
354,NA,12,no credits taken/ all credits paid back duly,radio/television,6199,NA,NA,4,NA,NA,2,building society savings agreement/ life insurance,28,none,rent,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,bad
355,no checking account,10,existing credits paid back duly till now,education,727,NA,... >= 7 years,4,male : single,none,4,unknown / no property,46,none,for free,NA,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
356,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),NA,... < 100 DM,... < 1 year,NA,male : single,none,2,NA,23,stores,own,1,NA,1,none,yes,bad
357,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,NA,NA,... >= 7 years,1,male : single,co-applicant,4,NA,49,none,own,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
358,no checking account,NA,delay in paying off in the past,radio/television,4463,NA,NA,4,male : single,none,2,NA,NA,none,own,2,OTHER,1,NA,yes,bad
359,NA,12,NA,NA,776,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,NA,NA,28,none,own,1,unskilled - residentskilled employee / official,1,NA,yes,good
360,NA,NA,existing credits paid back duly till now,furniture/equipment,2406,NA,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled - residentskilled employee / official,NA,none,yes,bad
361,0 <= ... < 200 DM,18,existing credits paid back duly till now,education,1239,unknown/ no savings account,1 <= ... < 4 years,4,male : single,NA,4,unknown / no property,NA,none,for free,1,unskilled - residentskilled employee / official,1,none,yes,good
362,... >= 200 DM / salary assignments for at least 1 year,12,NA,radio/television,NA,unknown/ no savings account,... >= 7 years,2,male : single,none,NA,"car or other, not in attribute Savings account/bonds",37,none,own,1,OTHER,1,NA,yes,good
363,... >= 200 DM / salary assignments for at least 1 year,12,delay in paying off in the past,car (new),2247,... < 100 DM,1 <= ... < 4 years,NA,female : divorced/separated/married,NA,2,"car or other, not in attribute Savings account/bonds",36,NA,own,2,unskilled - residentskilled employee / official,1,NA,yes,good
364,no checking account,6,existing credits paid back duly till now,furniture/equipment,1766,... < 100 DM,1 <= ... < 4 years,1,male : married/widowed,none,NA,building society savings agreement/ life insurance,21,none,rent,1,unskilled - residentskilled employee / official,NA,none,yes,good
365,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,NA,... < 100 DM,unemployed,4,male : single,none,1,"car or other, not in attribute Savings account/bonds",25,none,own,1,OTHER,1,none,yes,bad
366,no checking account,NA,NA,NA,1542,... < 100 DM,4 <= ... < 7 years,2,NA,none,4,"car or other, not in attribute Savings account/bonds",NA,none,own,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
367,no checking account,18,critical account/ other credits existing (not at this bank),car (used),3850,NA,4 <= ... < 7 years,3,male : single,NA,NA,"car or other, not in attribute Savings account/bonds",27,NA,own,2,unskilled - residentskilled employee / official,1,none,yes,good
368,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,3650,NA,... < 1 year,1,NA,none,4,"car or other, not in attribute Savings account/bonds",22,none,rent,1,unskilled - residentskilled employee / official,1,NA,yes,good
369,... < 0 DM,NA,existing credits paid back duly till now,furniture/equipment,3446,NA,... >= 7 years,NA,male : single,none,2,"car or other, not in attribute Savings account/bonds",NA,none,own,1,NA,2,NA,yes,bad
370,0 <= ... < 200 DM,18,existing credits paid back duly till now,furniture/equipment,3001,... < 100 DM,NA,2,female : divorced/separated/married,none,4,real estate,40,none,rent,1,NA,1,none,yes,good
371,no checking account,36,existing credits paid back duly till now,car (new),3079,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,real estate,NA,none,own,1,unskilled - residentskilled employee / official,NA,none,NA,good
372,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,NA,NA,... >= 7 years,NA,NA,none,4,NA,NA,none,own,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,good
373,no checking account,10,NA,furniture/equipment,2146,... < 100 DM,... < 1 year,1,NA,NA,3,NA,23,NA,rent,NA,NA,1,none,yes,good
374,no checking account,60,critical account/ other credits existing (not at this bank),NA,13756,unknown/ no savings account,... >= 7 years,2,male : single,NA,4,NA,63,bank,NA,1,OTHER,1,"yes, registered under the customers name",yes,good
375,0 <= ... < 200 DM,60,NA,OTHER,14782,NA,... >= 7 years,3,female : divorced/separated/married,none,NA,NA,60,bank,for free,2,OTHER,NA,"yes, registered under the customers name",yes,bad
376,... < 0 DM,NA,NA,business,7685,NA,4 <= ... < 7 years,2,female : divorced/separated/married,NA,NA,"car or other, not in attribute Savings account/bonds",NA,NA,rent,1,unskilled - residentskilled employee / official,NA,NA,yes,bad
377,no checking account,18,delay in paying off in the past,radio/television,2320,... < 100 DM,unemployed,2,NA,NA,3,real estate,34,NA,own,2,unskilled - residentskilled employee / official,NA,none,yes,good
378,no checking account,7,delay in paying off in the past,radio/television,846,unknown/ no savings account,... >= 7 years,3,male : single,none,4,NA,NA,NA,for free,1,unskilled - residentskilled employee / official,1,none,yes,good
379,NA,36,existing credits paid back duly till now,car (new),14318,... < 100 DM,NA,4,male : single,none,2,unknown / no property,57,none,for free,NA,OTHER,1,"yes, registered under the customers name",yes,bad
380,no checking account,6,critical account/ other credits existing (not at this bank),car (new),362,100 <= ... < 500 DM,1 <= ... < 4 years,NA,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",52,none,own,2,unskilled - resident,1,none,NA,good
381,... < 0 DM,20,existing credits paid back duly till now,furniture/equipment,2212,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",NA,none,own,NA,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
382,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (used),12976,... < 100 DM,NA,3,NA,none,NA,unknown / no property,38,none,for free,NA,OTHER,1,"yes, registered under the customers name",yes,bad
383,no checking account,22,existing credits paid back duly till now,NA,1283,unknown/ no savings account,4 <= ... < 7 years,4,NA,none,4,NA,25,none,rent,NA,unskilled - residentskilled employee / official,1,NA,NA,good
384,... >= 200 DM / salary assignments for at least 1 year,12,NA,NA,1330,NA,... < 1 year,4,male : single,none,NA,real estate,26,none,own,1,unskilled - residentskilled employee / official,NA,none,NA,good
